Mask,Index,Name,R,G,B,A
aparc+aseg,3003,wm-lh-caudalmiddlefrontal,155,230,255,255
aparc+aseg,3004,wm-lh-corpuscallosum,135,185,205,255
aparc+aseg,3005,wm-lh-cuneus,35,235,155,255
aparc+aseg,3006,wm-lh-entorhinal,35,235,245,255
aparc+aseg,3007,wm-lh-fusiform,75,35,115,255
aparc+aseg,3008,wm-lh-inferiorparietal,35,195,35,255
aparc+aseg,3009,wm-lh-inferiortemporal,75,215,135,255
aparc+aseg,3010,wm-lh-isthmuscingulate,115,235,115,255
aparc+aseg,3011,wm-lh-lateraloccipital,235,225,115,255
aparc+aseg,3012,wm-lh-lateralorbitofrontal,220,180,205,255
aparc+aseg,3013,wm-lh-lingual,30,115,115,255
aparc+aseg,3014,wm-lh-medialorbitofrontal,55,220,180,255
aparc+aseg,3015,wm-lh-middletemporal,95,155,205,255
aparc+aseg,3016,wm-lh-parahippocampal,235,35,195,255
aparc+aseg,3017,wm-lh-paracentral,195,35,195,255
aparc+aseg,3018,wm-lh-parsopercularis,35,75,115,255
aparc+aseg,3019,wm-lh-parsorbitalis,235,155,205,255
aparc+aseg,3020,wm-lh-parstriangularis,35,195,235,255
aparc+aseg,3021,wm-lh-pericalcarine,135,155,195,255
aparc+aseg,3022,wm-lh-postcentral,35,235,235,255
aparc+aseg,3023,wm-lh-posteriorcingulate,35,75,35,255
aparc+aseg,3024,wm-lh-precentral,195,235,35,255
aparc+aseg,3025,wm-lh-precuneus,95,115,75,255
aparc+aseg,3026,wm-lh-rostralanteriorcingulate,175,235,115,255
aparc+aseg,3027,wm-lh-rostralmiddlefrontal,180,205,130,255
aparc+aseg,3028,wm-lh-superiorfrontal,235,35,95,255
aparc+aseg,3029,wm-lh-superiorparietal,235,75,115,255
aparc+aseg,3030,wm-lh-superiortemporal,115,35,35,255
aparc+aseg,3031,wm-lh-supramarginal,175,95,235,255
aparc+aseg,3032,wm-lh-frontalpole,155,255,155,255
aparc+aseg,3033,wm-lh-temporalpole,185,185,185,255
aparc+aseg,3034,wm-lh-transversetemporal,105,105,55,255
aparc+aseg,3035,wm-lh-insula,20,220,160,255
aparc+aseg,4000,wm-rh-unknown,230,250,230,255
aparc+aseg,4001,wm-rh-bankssts,230,155,215,255
aparc+aseg,4002,wm-rh-caudalanteriorcingulate,130,155,95,255
aparc+aseg,4003,wm-rh-caudalmiddlefrontal,155,230,255,255
aparc+aseg,4004,wm-rh-corpuscallosum,135,185,205,255
aparc+aseg,4005,wm-rh-cuneus,35,235,155,255
aparc+aseg,4006,wm-rh-entorhinal,35,235,245,255
aparc+aseg,4007,wm-rh-fusiform,75,35,115,255
aparc+aseg,4008,wm-rh-inferiorparietal,35,195,35,255
aparc+aseg,4009,wm-rh-inferiortemporal,75,215,135,255
aparc+aseg,4010,wm-rh-isthmuscingulate,115,235,115,255
aparc+aseg,4011,wm-rh-lateraloccipital,235,225,115,255
aparc+aseg,4012,wm-rh-lateralorbitofrontal,220,180,205,255
aparc+aseg,4013,wm-rh-lingual,30,115,115,255
aparc+aseg,4014,wm-rh-medialorbitofrontal,55,220,180,255
aparc+aseg,4015,wm-rh-middletemporal,95,155,205,255
aparc+aseg,4016,wm-rh-parahippocampal,235,35,195,255
aparc+aseg,4017,wm-rh-paracentral,195,35,195,255
aparc+aseg,4018,wm-rh-parsopercularis,35,75,115,255
aparc+aseg,4019,wm-rh-parsorbitalis,235,155,205,255
aparc+aseg,4020,wm-rh-parstriangularis,35,195,235,255
aparc+aseg,4021,wm-rh-pericalcarine,135,155,195,255
aparc+aseg,4022,wm-rh-postcentral,35,235,235,255
aparc+aseg,4023,wm-rh-posteriorcingulate,35,75,35,255
aparc+aseg,4024,wm-rh-precentral,195,235,35,255
aparc+aseg,4025,wm-rh-precuneus,95,115,75,255
aparc+aseg,4026,wm-rh-rostralanteriorcingulate,175,235,115,255
aparc+aseg,4027,wm-rh-rostralmiddlefrontal,180,205,130,255
aparc+aseg,4028,wm-rh-superiorfrontal,235,35,95,255
aparc+aseg,4029,wm-rh-superiorparietal,235,75,115,255
aparc+aseg,4030,wm-rh-superiortemporal,115,35,35,255
aparc+aseg,4031,wm-rh-supramarginal,175,95,235,255
aparc+aseg,4032,wm-rh-frontalpole,155,255,155,255
aparc+aseg,4033,wm-rh-temporalpole,185,185,185,255
aparc+aseg,4034,wm-rh-transversetemporal,105,105,55,255
aparc+aseg,4035,wm-rh-insula,20,220,160,255
aparc+aseg,1301,ctx-lh-frontal-lobe,25,100,40,255
aparc+aseg,1303,ctx-lh-cingulate-lobe,100,25,0,255
aparc+aseg,1304,ctx-lh-occipital-lobe,120,70,50,255
aparc+aseg,1305,ctx-lh-temporal-lobe,220,20,100,255
aparc+aseg,1306,ctx-lh-parietal-lobe,220,20,10,255
aparc+aseg,1307,ctx-lh-insula-lobe,255,192,32,255
aparc+aseg,2301,ctx-rh-frontal-lobe,25,100,40,255
aparc+aseg,2303,ctx-rh-cingulate-lobe,100,25,0,255
aparc+aseg,2304,ctx-rh-occipital-lobe,120,70,50,255
aparc+aseg,2305,ctx-rh-temporal-lobe,220,20,100,255
aparc+aseg,2306,ctx-rh-parietal-lobe,220,20,10,255
aparc+aseg,2307,ctx-rh-insula-lobe,255,192,32,255
aparc+aseg,3201,wm-lh-frontal-lobe,235,35,95,255
aparc+aseg,3203,wm-lh-cingulate-lobe,35,75,35,255
aparc+aseg,3204,wm-lh-occipital-lobe,135,155,195,255
aparc+aseg,3205,wm-lh-temporal-lobe,115,35,35,255
aparc+aseg,3206,wm-lh-parietal-lobe,35,195,35,255
aparc+aseg,3207,wm-lh-insula-lobe,20,220,160,255
aparc+aseg,4201,wm-rh-frontal-lobe,235,35,95,255
aparc+aseg,4203,wm-rh-cingulate-lobe,35,75,35,255
aparc+aseg,4204,wm-rh-occipital-lobe,135,155,195,255
aparc+aseg,4205,wm-rh-temporal-lobe,115,35,35,255
aparc+aseg,4206,wm-rh-parietal-lobe,35,195,35,255
aparc+aseg,4207,wm-rh-insula-lobe,20,220,160,255
aparc+aseg,1100,ctx-lh-Unknown,0,0,0,255
aparc+aseg,1101,ctx-lh-Corpus_callosum,50,50,50,255
aparc+aseg,1102,ctx-lh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,255
aparc+aseg,1103,ctx-lh-G_cingulate-Isthmus,60,25,25,255
aparc+aseg,1104,ctx-lh-G_cingulate-Main_part,25,60,60,255
aparc+aseg,1200,ctx-lh-G_cingulate-caudal_ACC,25,60,61,255
aparc+aseg,1201,ctx-lh-G_cingulate-rostral_ACC,25,90,60,255
aparc+aseg,1202,ctx-lh-G_cingulate-posterior,25,120,60,255
aparc+aseg,1205,ctx-lh-S_cingulate-caudal_ACC,25,150,60,255
aparc+aseg,1206,ctx-lh-S_cingulate-rostral_ACC,25,180,60,255
aparc+aseg,1207,ctx-lh-S_cingulate-posterior,25,210,60,255
aparc+aseg,1210,ctx-lh-S_pericallosal-caudal,25,150,90,255
aparc+aseg,1211,ctx-lh-S_pericallosal-rostral,25,180,90,255
aparc+aseg,1212,ctx-lh-S_pericallosal-posterior,25,210,90,255
aparc+aseg,1105,ctx-lh-G_cuneus,180,20,20,255
aparc+aseg,1106,ctx-lh-G_frontal_inf-Opercular_part,220,20,100,255
aparc+aseg,1107,ctx-lh-G_frontal_inf-Orbital_part,140,60,60,255
aparc+aseg,1108,ctx-lh-G_frontal_inf-Triangular_part,180,220,140,255
aparc+aseg,1109,ctx-lh-G_frontal_middle,140,100,180,255
aparc+aseg,1110,ctx-lh-G_frontal_superior,180,20,140,255
aparc+aseg,1111,ctx-lh-G_frontomarginal,140,20,140,255
aparc+aseg,1112,ctx-lh-G_insular_long,21,10,10,255
aparc+aseg,1113,ctx-lh-G_insular_short,225,140,140,255
aparc+aseg,1114,ctx-lh-G_and_S_occipital_inferior,23,60,180,255
aparc+aseg,1115,ctx-lh-G_occipital_middle,180,60,180,255
aparc+aseg,1116,ctx-lh-G_occipital_superior,20,220,60,255
aparc+aseg,1117,ctx-lh-G_occipit-temp_lat-Or_fusiform,60,20,140,255
aparc+aseg,1118,ctx-lh-G_occipit-temp_med-Lingual_part,220,180,140,255
aparc+aseg,1119,ctx-lh-G_occipit-temp_med-Parahippocampal_part,65,100,20,255
aparc+aseg,1120,ctx-lh-G_orbital,220,60,20,255
aparc+aseg,1121,ctx-lh-G_paracentral,60,100,60,255
aparc+aseg,1122,ctx-lh-G_parietal_inferior-Angular_part,20,60,220,255
aparc+aseg,1123,ctx-lh-G_parietal_inferior-Supramarginal_part,100,100,60,255
aparc+aseg,1124,ctx-lh-G_parietal_superior,220,180,220,255
aparc+aseg,1125,ctx-lh-G_postcentral,20,180,140,255
aparc+aseg,1126,ctx-lh-G_precentral,60,140,180,255
aparc+aseg,1127,ctx-lh-G_precuneus,25,20,140,255
aparc+aseg,1128,ctx-lh-G_rectus,20,60,100,255
aparc+aseg,1129,ctx-lh-G_subcallosal,60,220,20,255
aparc+aseg,1130,ctx-lh-G_subcentral,60,20,220,255
aparc+aseg,1131,ctx-lh-G_temporal_inferior,220,220,100,255
aparc+aseg,1132,ctx-lh-G_temporal_middle,180,60,60,255
aparc+aseg,1133,ctx-lh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,255
aparc+aseg,1134,ctx-lh-G_temp_sup-Lateral_aspect,220,60,220,255
aparc+aseg,1135,ctx-lh-G_temp_sup-Planum_polare,65,220,60,255
aparc+aseg,1136,ctx-lh-G_temp_sup-Planum_tempolare,25,140,20,255
aparc+aseg,1137,ctx-lh-G_and_S_transverse_frontopolar,13,0,250,255
aparc+aseg,1138,ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,255
aparc+aseg,1139,ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,255
aparc+aseg,1140,ctx-lh-Lat_Fissure-post_sgt,61,60,100,255
aparc+aseg,1141,ctx-lh-Medial_wall,25,25,25,255
aparc+aseg,1142,ctx-lh-Pole_occipital,140,20,60,255
aparc+aseg,1143,ctx-lh-Pole_temporal,220,180,20,255
aparc+aseg,1144,ctx-lh-S_calcarine,63,180,180,255
aparc+aseg,1145,ctx-lh-S_central,221,20,10,255
aparc+aseg,1146,ctx-lh-S_central_insula,21,220,20,255
aparc+aseg,1147,ctx-lh-S_cingulate-Main_part_and_Intracingulate,183,100,20,255
aparc+aseg,1148,ctx-lh-S_cingulate-Marginalis_part,221,20,100,255
aparc+aseg,1149,ctx-lh-S_circular_insula_anterior,221,60,140,255
aparc+aseg,1150,ctx-lh-S_circular_insula_inferior,221,20,220,255
aparc+aseg,1151,ctx-lh-S_circular_insula_superior,61,220,220,255
aparc+aseg,1152,ctx-lh-S_collateral_transverse_ant,100,200,200,255
aparc+aseg,1153,ctx-lh-S_collateral_transverse_post,10,200,200,255
aparc+aseg,1154,ctx-lh-S_frontal_inferior,221,220,20,255
aparc+aseg,1155,ctx-lh-S_frontal_middle,141,20,100,255
aparc+aseg,1156,ctx-lh-S_frontal_superior,61,220,100,255
aparc+aseg,1157,ctx-lh-S_frontomarginal,21,220,60,255
aparc+aseg,1158,ctx-lh-S_intermedius_primus-Jensen,141,60,20,255
aparc+aseg,1159,ctx-lh-S_intraparietal-and_Parietal_transverse,143,20,220,255
aparc+aseg,1160,ctx-lh-S_occipital_anterior,61,20,180,255
aparc+aseg,1161,ctx-lh-S_occipital_middle_and_Lunatus,101,60,220,255
aparc+aseg,1162,ctx-lh-S_occipital_superior_and_transversalis,21,20,140,255
aparc+aseg,1163,ctx-lh-S_occipito-temporal_lateral,221,140,20,255
aparc+aseg,1164,ctx-lh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,255
aparc+aseg,1165,ctx-lh-S_orbital-H_shapped,101,20,20,255
aparc+aseg,1166,ctx-lh-S_orbital_lateral,221,100,20,255
aparc+aseg,1167,ctx-lh-S_orbital_medial-Or_olfactory,181,200,20,255
aparc+aseg,1168,ctx-lh-S_paracentral,21,180,140,255
aparc+aseg,1169,ctx-lh-S_parieto_occipital,101,100,180,255
aparc+aseg,1170,ctx-lh-S_pericallosal,181,220,20,255
aparc+aseg,1171,ctx-lh-S_postcentral,21,140,200,255
aparc+aseg,1172,ctx-lh-S_precentral-Inferior-part,21,20,240,255
aparc+aseg,1173,ctx-lh-S_precentral-Superior-part,21,20,200,255
aparc+aseg,1174,ctx-lh-S_subcentral_ant,61,180,60,255
aparc+aseg,1175,ctx-lh-S_subcentral_post,61,180,250,255
aparc+aseg,1176,ctx-lh-S_suborbital,21,20,60,255
aparc+aseg,1177,ctx-lh-S_subparietal,101,60,60,255
aparc+aseg,1178,ctx-lh-S_supracingulate,21,220,220,255
aparc+aseg,1179,ctx-lh-S_temporal_inferior,21,180,180,255
aparc+aseg,1180,ctx-lh-S_temporal_superior,223,220,60,255
aparc+aseg,1181,ctx-lh-S_temporal_transverse,221,60,60,255
aparc+aseg,2100,ctx-rh-Unknown,0,0,0,255
aparc+aseg,2101,ctx-rh-Corpus_callosum,50,50,50,255
aparc+aseg,2102,ctx-rh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,255
aparc+aseg,2103,ctx-rh-G_cingulate-Isthmus,60,25,25,255
aparc+aseg,2104,ctx-rh-G_cingulate-Main_part,25,60,60,255
aparc+aseg,2105,ctx-rh-G_cuneus,180,20,20,255
aparc+aseg,2106,ctx-rh-G_frontal_inf-Opercular_part,220,20,100,255
aparc+aseg,2107,ctx-rh-G_frontal_inf-Orbital_part,140,60,60,255
aparc+aseg,2108,ctx-rh-G_frontal_inf-Triangular_part,180,220,140,255
aparc+aseg,2109,ctx-rh-G_frontal_middle,140,100,180,255
aparc+aseg,2110,ctx-rh-G_frontal_superior,180,20,140,255
aparc+aseg,2111,ctx-rh-G_frontomarginal,140,20,140,255
aparc+aseg,2112,ctx-rh-G_insular_long,21,10,10,255
aparc+aseg,2113,ctx-rh-G_insular_short,225,140,140,255
aparc+aseg,2114,ctx-rh-G_and_S_occipital_inferior,23,60,180,255
aparc+aseg,2115,ctx-rh-G_occipital_middle,180,60,180,255
aparc+aseg,2116,ctx-rh-G_occipital_superior,20,220,60,255
aparc+aseg,2117,ctx-rh-G_occipit-temp_lat-Or_fusiform,60,20,140,255
aparc+aseg,2118,ctx-rh-G_occipit-temp_med-Lingual_part,220,180,140,255
aparc+aseg,2119,ctx-rh-G_occipit-temp_med-Parahippocampal_part,65,100,20,255
aparc+aseg,2120,ctx-rh-G_orbital,220,60,20,255
aparc+aseg,2121,ctx-rh-G_paracentral,60,100,60,255
aparc+aseg,2122,ctx-rh-G_parietal_inferior-Angular_part,20,60,220,255
aparc+aseg,2123,ctx-rh-G_parietal_inferior-Supramarginal_part,100,100,60,255
aparc+aseg,2124,ctx-rh-G_parietal_superior,220,180,220,255
aparc+aseg,2125,ctx-rh-G_postcentral,20,180,140,255
aparc+aseg,2126,ctx-rh-G_precentral,60,140,180,255
aparc+aseg,2127,ctx-rh-G_precuneus,25,20,140,255
aparc+aseg,2128,ctx-rh-G_rectus,20,60,100,255
aparc+aseg,2129,ctx-rh-G_subcallosal,60,220,20,255
aparc+aseg,2130,ctx-rh-G_subcentral,60,20,220,255
aparc+aseg,2131,ctx-rh-G_temporal_inferior,220,220,100,255
aparc+aseg,2132,ctx-rh-G_temporal_middle,180,60,60,255
aparc+aseg,2133,ctx-rh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,255
aparc+aseg,2134,ctx-rh-G_temp_sup-Lateral_aspect,220,60,220,255
aparc+aseg,2135,ctx-rh-G_temp_sup-Planum_polare,65,220,60,255
aparc+aseg,2136,ctx-rh-G_temp_sup-Planum_tempolare,25,140,20,255
aparc+aseg,2137,ctx-rh-G_and_S_transverse_frontopolar,13,0,250,255
aparc+aseg,2138,ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,255
aparc+aseg,2139,ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,255
aparc+aseg,2140,ctx-rh-Lat_Fissure-post_sgt,61,60,100,255
aparc+aseg,2141,ctx-rh-Medial_wall,25,25,25,255
aparc+aseg,2142,ctx-rh-Pole_occipital,140,20,60,255
aparc+aseg,2143,ctx-rh-Pole_temporal,220,180,20,255
aparc+aseg,2144,ctx-rh-S_calcarine,63,180,180,255
aparc+aseg,2145,ctx-rh-S_central,221,20,10,255
aparc+aseg,2146,ctx-rh-S_central_insula,21,220,20,255
aparc+aseg,2147,ctx-rh-S_cingulate-Main_part_and_Intracingulate,183,100,20,255
aparc+aseg,2148,ctx-rh-S_cingulate-Marginalis_part,221,20,100,255
aparc+aseg,2149,ctx-rh-S_circular_insula_anterior,221,60,140,255
aparc+aseg,2150,ctx-rh-S_circular_insula_inferior,221,20,220,255
aparc+aseg,2151,ctx-rh-S_circular_insula_superior,61,220,220,255
aparc+aseg,2152,ctx-rh-S_collateral_transverse_ant,100,200,200,255
aparc+aseg,2153,ctx-rh-S_collateral_transverse_post,10,200,200,255
aparc+aseg,2154,ctx-rh-S_frontal_inferior,221,220,20,255
aparc+aseg,2155,ctx-rh-S_frontal_middle,141,20,100,255
aparc+aseg,2156,ctx-rh-S_frontal_superior,61,220,100,255
aparc+aseg,2157,ctx-rh-S_frontomarginal,21,220,60,255
aparc+aseg,2158,ctx-rh-S_intermedius_primus-Jensen,141,60,20,255
aparc+aseg,2159,ctx-rh-S_intraparietal-and_Parietal_transverse,143,20,220,255
aparc+aseg,2160,ctx-rh-S_occipital_anterior,61,20,180,255
aparc+aseg,2161,ctx-rh-S_occipital_middle_and_Lunatus,101,60,220,255
aparc+aseg,2162,ctx-rh-S_occipital_superior_and_transversalis,21,20,140,255
aparc+aseg,2163,ctx-rh-S_occipito-temporal_lateral,221,140,20,255
aparc+aseg,2164,ctx-rh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,255
aparc+aseg,2165,ctx-rh-S_orbital-H_shapped,101,20,20,255
aparc+aseg,2166,ctx-rh-S_orbital_lateral,221,100,20,255
aparc+aseg,2167,ctx-rh-S_orbital_medial-Or_olfactory,181,200,20,255
aparc+aseg,2168,ctx-rh-S_paracentral,21,180,140,255
aparc+aseg,2169,ctx-rh-S_parieto_occipital,101,100,180,255
aparc+aseg,2170,ctx-rh-S_pericallosal,181,220,20,255
aparc+aseg,2171,ctx-rh-S_postcentral,21,140,200,255
aparc+aseg,2172,ctx-rh-S_precentral-Inferior-part,21,20,240,255
aparc+aseg,2173,ctx-rh-S_precentral-Superior-part,21,20,200,255
aparc+aseg,2174,ctx-rh-S_subcentral_ant,61,180,60,255
aparc+aseg,2175,ctx-rh-S_subcentral_post,61,180,250,255
aparc+aseg,2176,ctx-rh-S_suborbital,21,20,60,255
aparc+aseg,2177,ctx-rh-S_subparietal,101,60,60,255
aparc+aseg,2178,ctx-rh-S_supracingulate,21,220,220,255
aparc+aseg,2179,ctx-rh-S_temporal_inferior,21,180,180,255
aparc+aseg,2180,ctx-rh-S_temporal_superior,223,220,60,255
aparc+aseg,2181,ctx-rh-S_temporal_transverse,221,60,60,255
aparc+aseg,2200,ctx-rh-G_cingulate-caudal_ACC,25,60,61,255
aparc+aseg,2201,ctx-rh-G_cingulate-rostral_ACC,25,90,60,255
aparc+aseg,2202,ctx-rh-G_cingulate-posterior,25,120,60,255
aparc+aseg,2205,ctx-rh-S_cingulate-caudal_ACC,25,150,60,255
aparc+aseg,2206,ctx-rh-S_cingulate-rostral_ACC,25,180,60,255
aparc+aseg,2207,ctx-rh-S_cingulate-posterior,25,210,60,255
aparc+aseg,2210,ctx-rh-S_pericallosal-caudal,25,150,90,255
aparc+aseg,2211,ctx-rh-S_pericallosal-rostral,25,180,90,255
aparc+aseg,2212,ctx-rh-S_pericallosal-posterior,25,210,90,255
aparc+aseg,3100,wm-lh-Unknown,0,0,0,255
aparc+aseg,3101,wm-lh-Corpus_callosum,50,50,50,255
aparc+aseg,3102,wm-lh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,255
aparc+aseg,3103,wm-lh-G_cingulate-Isthmus,60,25,25,255
aparc+aseg,3104,wm-lh-G_cingulate-Main_part,25,60,60,255
aparc+aseg,3105,wm-lh-G_cuneus,180,20,20,255
aparc+aseg,3106,wm-lh-G_frontal_inf-Opercular_part,220,20,100,255
aparc+aseg,3107,wm-lh-G_frontal_inf-Orbital_part,140,60,60,255
aparc+aseg,3108,wm-lh-G_frontal_inf-Triangular_part,180,220,140,255
aparc+aseg,3109,wm-lh-G_frontal_middle,140,100,180,255
aparc+aseg,3110,wm-lh-G_frontal_superior,180,20,140,255
aparc+aseg,3111,wm-lh-G_frontomarginal,140,20,140,255
aparc+aseg,3112,wm-lh-G_insular_long,21,10,10,255
aparc+aseg,3113,wm-lh-G_insular_short,225,140,140,255
aparc+aseg,3114,wm-lh-G_and_S_occipital_inferior,23,60,180,255
aparc+aseg,3115,wm-lh-G_occipital_middle,180,60,180,255
aparc+aseg,3116,wm-lh-G_occipital_superior,20,220,60,255
aparc+aseg,3117,wm-lh-G_occipit-temp_lat-Or_fusiform,60,20,140,255
aparc+aseg,3118,wm-lh-G_occipit-temp_med-Lingual_part,220,180,140,255
aparc+aseg,3119,wm-lh-G_occipit-temp_med-Parahippocampal_part,65,100,20,255
aparc+aseg,3120,wm-lh-G_orbital,220,60,20,255
aparc+aseg,3121,wm-lh-G_paracentral,60,100,60,255
aparc+aseg,3122,wm-lh-G_parietal_inferior-Angular_part,20,60,220,255
aparc+aseg,3123,wm-lh-G_parietal_inferior-Supramarginal_part,100,100,60,255
aparc+aseg,3124,wm-lh-G_parietal_superior,220,180,220,255
aparc+aseg,3125,wm-lh-G_postcentral,20,180,140,255
aparc+aseg,3126,wm-lh-G_precentral,60,140,180,255
aparc+aseg,3127,wm-lh-G_precuneus,25,20,140,255
aparc+aseg,3128,wm-lh-G_rectus,20,60,100,255
aparc+aseg,3129,wm-lh-G_subcallosal,60,220,20,255
aparc+aseg,3130,wm-lh-G_subcentral,60,20,220,255
aparc+aseg,3131,wm-lh-G_temporal_inferior,220,220,100,255
aparc+aseg,3132,wm-lh-G_temporal_middle,180,60,60,255
aparc+aseg,3133,wm-lh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,255
aparc+aseg,3134,wm-lh-G_temp_sup-Lateral_aspect,220,60,220,255
aparc+aseg,3135,wm-lh-G_temp_sup-Planum_polare,65,220,60,255
aparc+aseg,3136,wm-lh-G_temp_sup-Planum_tempolare,25,140,20,255
aparc+aseg,3137,wm-lh-G_and_S_transverse_frontopolar,13,0,250,255
aparc+aseg,3138,wm-lh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,255
aparc+aseg,3139,wm-lh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,255
aparc+aseg,3140,wm-lh-Lat_Fissure-post_sgt,61,60,100,255
aparc+aseg,3141,wm-lh-Medial_wall,25,25,25,255
aparc+aseg,3142,wm-lh-Pole_occipital,140,20,60,255
aparc+aseg,3143,wm-lh-Pole_temporal,220,180,20,255
aparc+aseg,3144,wm-lh-S_calcarine,63,180,180,255
aparc+aseg,3145,wm-lh-S_central,221,20,10,255
aparc+aseg,3146,wm-lh-S_central_insula,21,220,20,255
aparc+aseg,3147,wm-lh-S_cingulate-Main_part_and_Intracingulate,183,100,20,255
aparc+aseg,3148,wm-lh-S_cingulate-Marginalis_part,221,20,100,255
aparc+aseg,3149,wm-lh-S_circular_insula_anterior,221,60,140,255
aparc+aseg,3150,wm-lh-S_circular_insula_inferior,221,20,220,255
aparc+aseg,3151,wm-lh-S_circular_insula_superior,61,220,220,255
aparc+aseg,3152,wm-lh-S_collateral_transverse_ant,100,200,200,255
aparc+aseg,3153,wm-lh-S_collateral_transverse_post,10,200,200,255
aparc+aseg,3154,wm-lh-S_frontal_inferior,221,220,20,255
aparc+aseg,3155,wm-lh-S_frontal_middle,141,20,100,255
aparc+aseg,3156,wm-lh-S_frontal_superior,61,220,100,255
aparc+aseg,3157,wm-lh-S_frontomarginal,21,220,60,255
aparc+aseg,3158,wm-lh-S_intermedius_primus-Jensen,141,60,20,255
aparc+aseg,3159,wm-lh-S_intraparietal-and_Parietal_transverse,143,20,220,255
aparc+aseg,3160,wm-lh-S_occipital_anterior,61,20,180,255
aparc+aseg,3161,wm-lh-S_occipital_middle_and_Lunatus,101,60,220,255
aparc+aseg,3162,wm-lh-S_occipital_superior_and_transversalis,21,20,140,255
aparc+aseg,3163,wm-lh-S_occipito-temporal_lateral,221,140,20,255
aparc+aseg,3164,wm-lh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,255
aparc+aseg,3165,wm-lh-S_orbital-H_shapped,101,20,20,255
aparc+aseg,3166,wm-lh-S_orbital_lateral,221,100,20,255
aparc+aseg,3167,wm-lh-S_orbital_medial-Or_olfactory,181,200,20,255
aparc+aseg,3168,wm-lh-S_paracentral,21,180,140,255
aparc+aseg,3169,wm-lh-S_parieto_occipital,101,100,180,255
aparc+aseg,3170,wm-lh-S_pericallosal,181,220,20,255
aparc+aseg,3171,wm-lh-S_postcentral,21,140,200,255
aparc+aseg,3172,wm-lh-S_precentral-Inferior-part,21,20,240,255
aparc+aseg,3173,wm-lh-S_precentral-Superior-part,21,20,200,255
aparc+aseg,3174,wm-lh-S_subcentral_ant,61,180,60,255
aparc+aseg,3175,wm-lh-S_subcentral_post,61,180,250,255
aparc+aseg,3176,wm-lh-S_suborbital,21,20,60,255
aparc+aseg,3177,wm-lh-S_subparietal,101,60,60,255
aparc+aseg,3178,wm-lh-S_supracingulate,21,220,220,255
aparc+aseg,3179,wm-lh-S_temporal_inferior,21,180,180,255
aparc+aseg,3180,wm-lh-S_temporal_superior,223,220,60,255
aparc+aseg,3181,wm-lh-S_temporal_transverse,221,60,60,255
aparc+aseg,4100,wm-rh-Unknown,0,0,0,255
aparc+aseg,4101,wm-rh-Corpus_callosum,50,50,50,255
aparc+aseg,4102,wm-rh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,255
aparc+aseg,4103,wm-rh-G_cingulate-Isthmus,60,25,25,255
aparc+aseg,4104,wm-rh-G_cingulate-Main_part,25,60,60,255
aparc+aseg,4105,wm-rh-G_cuneus,180,20,20,255
aparc+aseg,4106,wm-rh-G_frontal_inf-Opercular_part,220,20,100,255
aparc+aseg,4107,wm-rh-G_frontal_inf-Orbital_part,140,60,60,255
aparc+aseg,4108,wm-rh-G_frontal_inf-Triangular_part,180,220,140,255
aparc+aseg,4109,wm-rh-G_frontal_middle,140,100,180,255
aparc+aseg,4110,wm-rh-G_frontal_superior,180,20,140,255
aparc+aseg,4111,wm-rh-G_frontomarginal,140,20,140,255
aparc+aseg,4112,wm-rh-G_insular_long,21,10,10,255
aparc+aseg,4113,wm-rh-G_insular_short,225,140,140,255
aparc+aseg,4114,wm-rh-G_and_S_occipital_inferior,23,60,180,255
aparc+aseg,4115,wm-rh-G_occipital_middle,180,60,180,255
aparc+aseg,4116,wm-rh-G_occipital_superior,20,220,60,255
aparc+aseg,4117,wm-rh-G_occipit-temp_lat-Or_fusiform,60,20,140,255
aparc+aseg,4118,wm-rh-G_occipit-temp_med-Lingual_part,220,180,140,255
aparc+aseg,4119,wm-rh-G_occipit-temp_med-Parahippocampal_part,65,100,20,255
aparc+aseg,4120,wm-rh-G_orbital,220,60,20,255
aparc+aseg,4121,wm-rh-G_paracentral,60,100,60,255
aparc+aseg,4122,wm-rh-G_parietal_inferior-Angular_part,20,60,220,255
aparc+aseg,4123,wm-rh-G_parietal_inferior-Supramarginal_part,100,100,60,255
aparc+aseg,4124,wm-rh-G_parietal_superior,220,180,220,255
aparc+aseg,4125,wm-rh-G_postcentral,20,180,140,255
aparc+aseg,4126,wm-rh-G_precentral,60,140,180,255
aparc+aseg,4127,wm-rh-G_precuneus,25,20,140,255
