Mask,Index,Name,R,G,B,A
aparc+aseg,118,Epidermis,255,20,147,255
aparc+aseg,119,Conn-Tissue,205,179,139,255
aparc+aseg,120,SC-Fat-Muscle,238,238,209,255
aparc+aseg,121,Cranium,200,200,200,255
aparc+aseg,122,CSF-SA,74,255,74,255
aparc+aseg,123,Muscle,238,0,0,255
aparc+aseg,124,Ear,0,0,139,255
aparc+aseg,125,Adipose,173,255,47,255
aparc+aseg,126,Spinal-Cord,133,203,229,255
aparc+aseg,127,Soft-Tissue,26,237,57,255
aparc+aseg,128,Nerve,34,139,34,255
aparc+aseg,129,Bone,30,144,255,255
aparc+aseg,130,AirCavity,196,160,128,255
aparc+aseg,131,Orbital-Fat,238,59,59,255
aparc+aseg,132,Tongue,221,39,200,255
aparc+aseg,133,Nasal-Structures,238,174,238,255
aparc+aseg,134,Globe,255,0,0,255
aparc+aseg,135,Teeth,72,61,139,255
aparc+aseg,136,Left-Caudate-Putamen,21,39,132,255
aparc+aseg,137,Right-Caudate-Putamen,21,39,132,255
aparc+aseg,138,Left-Claustrum,65,135,20,255
aparc+aseg,139,Right-Claustrum,65,135,20,255
aparc+aseg,140,Cornea,134,4,160,255
aparc+aseg,142,Diploe,221,226,68,255
aparc+aseg,143,Vitreous-Humor,255,255,254,255
aparc+aseg,144,Lens,52,209,226,255
aparc+aseg,145,Aqueous-Humor,239,160,223,255
aparc+aseg,146,Outer-Table,70,130,180,255
aparc+aseg,147,Inner-Table,70,130,181,255
aparc+aseg,148,Periosteum,139,121,94,255
aparc+aseg,149,Endosteum,224,224,224,255
aparc+aseg,150,R-C-S,255,0,0,255
aparc+aseg,151,Iris,205,205,0,255
aparc+aseg,152,SC-Adipose-Muscle,238,238,209,255
aparc+aseg,153,SC-Tissue,139,121,94,255
aparc+aseg,154,Orbital-Adipose,238,59,59,255
aparc+aseg,155,Left-IntCapsule-Ant,238,59,59,255
aparc+aseg,156,Right-IntCapsule-Ant,238,59,59,255
aparc+aseg,157,Left-IntCapsule-Pos,62,10,205,255
aparc+aseg,158,Right-IntCapsule-Pos,62,10,205,255
aparc+aseg,159,Left-Cerebral-WM-unmyelinated,0,118,14,255
aparc+aseg,160,Right-Cerebral-WM-unmyelinated,0,118,14,255
aparc+aseg,161,Left-Cerebral-WM-myelinated,220,216,21,255
aparc+aseg,162,Right-Cerebral-WM-myelinated,220,216,21,255
aparc+aseg,163,Left-Subcortical-Gray-Matter,122,186,220,255
aparc+aseg,164,Right-Subcortical-Gray-Matter,122,186,220,255
aparc+aseg,165,Skull,120,120,120,255
aparc+aseg,166,Posterior-fossa,14,48,255,255
aparc+aseg,167,Scalp,166,42,42,255
aparc+aseg,168,Hematoma,121,18,134,255
aparc+aseg,169,Left-Basal-Ganglia,236,13,127,255
aparc+aseg,176,Right-Basal-Ganglia,236,13,126,255
aparc+aseg,170,brainstem,119,159,176,255
aparc+aseg,171,DCG,119,0,176,255
aparc+aseg,172,Vermis,119,100,176,255
aparc+aseg,173,Midbrain,242,104,76,255
aparc+aseg,174,Pons,206,195,58,255
aparc+aseg,175,Medulla,119,159,176,255
aparc+aseg,177,Vermis-White-Matter,119,50,176,255
aparc+aseg,178,SCP,142,182,0,255
aparc+aseg,179,Floculus,19,100,176,255
aparc+aseg,180,Left-Cortical-Dysplasia,73,61,139,255
aparc+aseg,181,Right-Cortical-Dysplasia,73,62,139,255
aparc+aseg,182,CblumNodulus,10,100,176,255
aparc+aseg,193,Left-hippocampal_fissure,0,196,255,255
aparc+aseg,194,Left-CADG-head,255,164,164,255
aparc+aseg,195,Left-subiculum,196,196,0,255
aparc+aseg,196,Left-fimbria,0,100,255,255
aparc+aseg,197,Right-hippocampal_fissure,128,196,164,255
aparc+aseg,198,Right-CADG-head,0,126,75,255
aparc+aseg,199,Right-subiculum,128,96,64,255
aparc+aseg,200,Right-fimbria,0,50,128,255
aparc+aseg,201,alveus,255,204,153,255
aparc+aseg,202,perforant_pathway,255,128,128,255
aparc+aseg,203,parasubiculum,175,175,75,255
aparc+aseg,204,presubiculum,64,0,64,255
aparc+aseg,205,subiculum,0,0,255,255
aparc+aseg,206,CA1,255,0,0,255
aparc+aseg,207,CA2,128,128,255,255
aparc+aseg,208,CA3,0,128,0,255
aparc+aseg,209,CA4,196,160,128,255
aparc+aseg,210,GC-DG,32,200,255,255
aparc+aseg,211,HATA,128,255,128,255
aparc+aseg,212,fimbria,204,153,204,255
aparc+aseg,213,lateral_ventricle,121,17,136,255
aparc+aseg,214,molecular_layer_HP,128,0,0,255
aparc+aseg,215,hippocampal_fissure,128,32,255,255
aparc+aseg,216,entorhinal_cortex,255,204,102,255
aparc+aseg,217,molecular_layer_subiculum,128,128,128,255
aparc+aseg,218,Amygdala,104,255,255,255
aparc+aseg,219,Cerebral_White_Matter,0,226,0,255
aparc+aseg,220,Cerebral_Cortex,205,63,78,255
aparc+aseg,221,Inf_Lat_Vent,197,58,250,255
aparc+aseg,222,Perirhinal,33,150,250,255
aparc+aseg,223,Cerebral_White_Matter_Edge,226,0,0,255
aparc+aseg,224,Background,100,100,100,255
aparc+aseg,225,Ectorhinal,197,150,250,255
aparc+aseg,226,HP_tail,170,170,255,255
aparc+aseg,227,Polymorphic-Layer,128,255,128,255
aparc+aseg,228,Intracellular-Space,204,153,204,255
aparc+aseg,231,HP_body,0,255,0,255
aparc+aseg,232,HP_head,255,0,0,255
aparc+aseg,233,presubiculum-head,32,0,32,255
aparc+aseg,234,presubiculum-body,64,0,64,255
aparc+aseg,235,subiculum-head,0,0,175,255
aparc+aseg,236,subiculum-body,0,0,255,255
aparc+aseg,237,CA1-head,175,75,75,255
aparc+aseg,238,CA1-body,255,0,0,255
aparc+aseg,239,CA3-head,0,80,0,255
aparc+aseg,240,CA3-body,0,128,0,255
aparc+aseg,241,CA4-head,120,90,50,255
aparc+aseg,242,CA4-body,196,160,128,255
aparc+aseg,243,GC-ML-DG-head,75,125,175,255
aparc+aseg,244,GC-ML-DG-body,32,200,255,255
aparc+aseg,245,molecular_layer_HP-head,100,25,25,255
aparc+aseg,246,molecular_layer_HP-body,128,0,0,255
aparc+aseg,247,FreezeSurface,10,100,100,255
aparc+aseg,250,Fornix,255,0,0,255
aparc+aseg,251,CC_Posterior,0,0,64,255
aparc+aseg,252,CC_Mid_Posterior,0,0,112,255
aparc+aseg,253,CC_Central,0,0,160,255
aparc+aseg,254,CC_Mid_Anterior,0,0,208,255
aparc+aseg,255,CC_Anterior,0,0,255,255
aparc+aseg,256,Voxel-Unchanged,0,0,0,255
aparc+aseg,257,CSF-ExtraCerebral,60,60,60,255
aparc+aseg,258,Head-ExtraCerebral,150,150,200,255
aparc+aseg,259,Eye-Fluid,60,60,60,255
aparc+aseg,260,BoneOrAir,119,159,176,255
aparc+aseg,261,PossibleFluid,120,18,134,255
aparc+aseg,262,Sinus,196,160,128,255
aparc+aseg,263,Left-Eustachian,119,159,176,255
aparc+aseg,264,Right-Eustachian,119,159,176,255
aparc+aseg,265,Left-Eyeball,60,60,60,255
aparc+aseg,266,Right-Eyeball,60,60,60,255
aparc+aseg,331,Aorta,255,0,0,255
aparc+aseg,332,Left-Common-IliacA,255,80,0,255
aparc+aseg,333,Right-Common-IliacA,255,160,0,255
aparc+aseg,334,Left-External-IliacA,255,255,0,255
aparc+aseg,335,Right-External-IliacA,0,255,0,255
aparc+aseg,336,Left-Internal-IliacA,255,0,160,255
aparc+aseg,337,Right-Internal-IliacA,255,0,255,255
aparc+aseg,338,Left-Lateral-SacralA,255,50,80,255
aparc+aseg,339,Right-Lateral-SacralA,80,255,50,255
aparc+aseg,340,Left-ObturatorA,160,255,50,255
aparc+aseg,341,Right-ObturatorA,160,200,255,255
aparc+aseg,342,Left-Internal-PudendalA,0,255,160,255
aparc+aseg,343,Right-Internal-PudendalA,0,0,255,255
aparc+aseg,344,Left-UmbilicalA,80,50,255,255
aparc+aseg,345,Right-UmbilicalA,160,0,255,255
aparc+aseg,346,Left-Inf-RectalA,255,210,0,255
aparc+aseg,347,Right-Inf-RectalA,0,160,255,255
aparc+aseg,348,Left-Common-IliacV,255,200,80,255
aparc+aseg,349,Right-Common-IliacV,255,200,160,255
aparc+aseg,350,Left-External-IliacV,255,80,200,255
aparc+aseg,351,Right-External-IliacV,255,160,200,255
aparc+aseg,352,Left-Internal-IliacV,30,255,80,255
aparc+aseg,353,Right-Internal-IliacV,80,200,255,255
aparc+aseg,354,Left-ObturatorV,80,255,200,255
aparc+aseg,355,Right-ObturatorV,195,255,200,255
aparc+aseg,356,Left-Internal-PudendalV,120,200,20,255
aparc+aseg,357,Right-Internal-PudendalV,170,10,200,255
aparc+aseg,358,Pos-Lymph,20,130,180,255
aparc+aseg,359,Neg-Lymph,20,180,130,255
aparc+aseg,400,V1,206,62,78,255
aparc+aseg,401,V2,121,18,134,255
aparc+aseg,402,BA44,199,58,250,255
aparc+aseg,403,BA45,1,148,0,255
aparc+aseg,404,BA4a,221,248,164,255
aparc+aseg,405,BA4p,231,148,34,255
aparc+aseg,406,BA6,1,118,14,255
aparc+aseg,407,BA2,120,118,14,255
aparc+aseg,408,BA1_old,123,186,221,255
aparc+aseg,409,BAun2,238,13,177,255
aparc+aseg,410,BA1,123,186,220,255
aparc+aseg,411,BA2b,138,13,206,255
aparc+aseg,412,BA3a,238,130,176,255
aparc+aseg,413,BA3b,218,230,76,255
aparc+aseg,414,MT,38,213,176,255
aparc+aseg,415,AIPS_AIP_l,1,225,176,255
aparc+aseg,416,AIPS_AIP_r,1,225,176,255
aparc+aseg,417,AIPS_VIP_l,200,2,100,255
aparc+aseg,418,AIPS_VIP_r,200,2,100,255
aparc+aseg,419,IPL_PFcm_l,5,200,90,255
aparc+aseg,420,IPL_PFcm_r,5,200,90,255
aparc+aseg,421,IPL_PF_l,100,5,200,255
aparc+aseg,422,IPL_PFm_l,25,255,100,255
aparc+aseg,423,IPL_PFm_r,25,255,100,255
aparc+aseg,424,IPL_PFop_l,230,7,100,255
aparc+aseg,425,IPL_PFop_r,230,7,100,255
aparc+aseg,426,IPL_PF_r,100,5,200,255
aparc+aseg,427,IPL_PFt_l,150,10,200,255
aparc+aseg,428,IPL_PFt_r,150,10,200,255
aparc+aseg,429,IPL_PGa_l,175,10,176,255
aparc+aseg,430,IPL_PGa_r,175,10,176,255
aparc+aseg,431,IPL_PGp_l,10,100,255,255
aparc+aseg,432,IPL_PGp_r,10,100,255,255
aparc+aseg,433,Visual_V3d_l,150,45,70,255
aparc+aseg,434,Visual_V3d_r,150,45,70,255
aparc+aseg,435,Visual_V4_l,45,200,15,255
aparc+aseg,436,Visual_V4_r,45,200,15,255
aparc+aseg,437,Visual_V5_b,227,45,100,255
aparc+aseg,438,Visual_VP_l,227,45,100,255
aparc+aseg,439,Visual_VP_r,227,45,100,255
aparc+aseg,498,wmsa,143,188,143,255
aparc+aseg,499,other_wmsa,255,248,220,255
aparc+aseg,500,right_CA2_3,17,85,136,255
aparc+aseg,501,right_alveus,119,187,102,255
aparc+aseg,502,right_CA1,204,68,34,255
aparc+aseg,503,right_fimbria,204,0,255,255
aparc+aseg,504,right_presubiculum,221,187,17,255
aparc+aseg,505,right_hippocampal_fissure,153,221,238,255
aparc+aseg,506,right_CA4_DG,51,17,17,255
aparc+aseg,507,right_subiculum,0,119,85,255
aparc+aseg,508,right_fornix,20,100,200,255
aparc+aseg,550,left_CA2_3,17,85,137,255
aparc+aseg,551,left_alveus,119,187,103,255
aparc+aseg,552,left_CA1,204,68,35,255
aparc+aseg,553,left_fimbria,204,0,254,255
aparc+aseg,554,left_presubiculum,221,187,16,255
aparc+aseg,555,left_hippocampal_fissure,153,221,239,255
aparc+aseg,556,left_CA4_DG,51,17,18,255
aparc+aseg,557,left_subiculum,0,119,86,255
aparc+aseg,558,left_fornix,20,100,201,255
aparc+aseg,600,Tumor,254,254,254,255
aparc+aseg,601,Cbm_Left_I_IV,70,130,180,255
aparc+aseg,602,Cbm_Right_I_IV,245,245,245,255
aparc+aseg,603,Cbm_Left_V,205,62,78,255
aparc+aseg,604,Cbm_Right_V,120,18,134,255
aparc+aseg,605,Cbm_Left_VI,196,58,250,255
aparc+aseg,606,Cbm_Vermis_VI,0,148,0,255
aparc+aseg,607,Cbm_Right_VI,220,248,164,255
aparc+aseg,608,Cbm_Left_CrusI,230,148,34,255
aparc+aseg,609,Cbm_Vermis_CrusI,0,118,14,255
aparc+aseg,610,Cbm_Right_CrusI,0,118,14,255
aparc+aseg,611,Cbm_Left_CrusII,122,186,220,255
aparc+aseg,612,Cbm_Vermis_CrusII,236,13,176,255
aparc+aseg,613,Cbm_Right_CrusII,12,48,255,255
aparc+aseg,614,Cbm_Left_VIIb,204,182,142,255
aparc+aseg,615,Cbm_Vermis_VIIb,42,204,164,255
aparc+aseg,616,Cbm_Right_VIIb,119,159,176,255
aparc+aseg,617,Cbm_Left_VIIIa,220,216,20,255
aparc+aseg,618,Cbm_Vermis_VIIIa,103,255,255,255
aparc+aseg,619,Cbm_Right_VIIIa,80,196,98,255
aparc+aseg,620,Cbm_Left_VIIIb,60,58,210,255
aparc+aseg,621,Cbm_Vermis_VIIIb,60,58,210,255
aparc+aseg,622,Cbm_Right_VIIIb,60,58,210,255
aparc+aseg,623,Cbm_Left_IX,60,58,210,255
aparc+aseg,624,Cbm_Vermis_IX,60,60,60,255
aparc+aseg,625,Cbm_Right_IX,255,165,0,255
aparc+aseg,626,Cbm_Left_X,255,165,0,255
aparc+aseg,627,Cbm_Vermis_X,0,255,127,255
aparc+aseg,628,Cbm_Right_X,165,42,42,255
aparc+aseg,640,Cbm_Right_I_V_med,204,0,0,255
aparc+aseg,641,Cbm_Right_I_V_mid,255,0,0,255
aparc+aseg,642,Cbm_Right_VI_med,0,0,255,255
